pref_code,pref_ja,pref_ko,pref_en,lat,lon,korea,foreign_total,min_minutes,gravity,n_reachable,ratio,ratio_min,ratio_max,uncertain,korea_share
11,埼玉県,사이타마,Saitama Ken,35.857,139.6489,22400.0,258220.0,314.95775193940653,12.42014909111056,2.0,1.1822162560407716,0.9883440536256036,1.519414118024381,0,0.0867477344899698
12,千葉県,지바,Chiba Ken,35.605,140.1233,231140.0,4339320.0,297.96986855056434,19.236734361755946,2.1666666666666665,0.5912147960740328,0.47135935640912285,0.7479131228510912,0,0.05326641040531696
13,東京都,도쿄,Tokyo To,35.6895,139.6917,3676400.0,51138760.0,296.35489047110065,14.661990094253762,2.0,0.7300055305579363,0.6675558727472182,0.954700220258619,0,0.07189067548763403
14,神奈川県,가나가와,Kanagawa Ken,35.4478,139.6425,183700.0,4154880.0,295.8839891571361,13.23077833884647,2.0,0.4523473418999,0.3812611941105081,0.6286355606628126,0,0.04421306993222428
15,新潟県,니가타,Niigata Ken,37.9026,139.0234,35790.0,519340.0,283.23603836409546,0.651927574319516,1.0,0.9796256429866841,0.3165010032912519,1.7485535960070961,0,0.06891439134285825
16,富山県,도야마,Toyama Ken,36.6953,137.2114,16380.0,361290.0,317.8151944205821,0.9888269462869829,1.25,0.5900474194714078,0.2426726954412153,1.0284450002801555,0,0.045337540479946856
17,石川県,이시카와,Ishikawa Ken,36.5947,136.6256,37450.0,1834510.0,286.65911141481547,1.2769446969731686,1.25,0.20195364741842659,0.11610793788423128,0.23601291964888413,0,0.020414170541452486
18,福井県,후쿠이,Fukui Ken,36.0652,136.2216,5280.0,97850.0,297.0416301607131,2.8282083928516886,1.0833333333333333,0.6105683270501107,0.30141580889317515,0.9068346819779888,0,0.053960143076136946
19,山梨県,야마나시,Yamanashi Ken,35.6642,138.5684,46930.0,1686860.0,374.64322909723995,3.679948320337182,0.0,0.7441129722448785,0.6116287042923624,1.2042576087726895,0,0.027820921712530974
20,長野県,나가노,Nagano Ken,36.6513,138.181,51170.0,1841490.0,399.9021981895066,1.3325717860049469,0.25,1.0366008591510694,0.4480602935834088,2.373610315585732,0,0.027787280951837915
21,岐阜県,기후,Gifu Ken,35.3912,136.7223,86360.0,1591250.0,303.5031505842475,6.397072769286992,1.0,0.5960546171736396,0.4262504064894584,0.8686538673561476,0,0.05427179890023567
22,静岡県,시즈오카,Shizuoka Ken,34.9769,138.3831,159510.0,1914570.0,298.85565840783164,3.5002660566715242,1.0,0.8677281930676405,0.5513260001390652,1.4603902014217296,0,0.08331374668985725
23,愛知県,아이치,Aichi Ken,35.1802,136.9066,590140.0,4531540.0,280.7425272178259,7.893238710715909,1.0,1.1197331484510378,0.9176366426422049,1.5320717475005663,0,0.1302294584181095
24,三重県,미에,Mie Ken,34.7303,136.5086,37480.0,317060.0,274.36697910919554,12.125493115772867,2.0,1.0068645635368716,0.3319580501953685,1.32781018504933,6,0.11821106415189554
25,滋賀県,시가,Shiga Ken,35.0045,135.8686,30090.0,273820.0,319.5248753763691,14.152453968833832,2.75,1.5014388829850096,1.129898344567473,2.2311316281429656,0,0.10988970856767219
26,京都府,교토,Kyoto Fu,35.0211,135.7556,732320.0,15591430.0,314.53305733765524,14.878776496608177,2.75,0.5713289442904085,0.44971799005316115,0.9396336096171036,0,0.04696939280104519
27,大阪府,오사카,Osaka Fu,34.6863,135.52,2835290.0,23179170.0,271.94508267440744,27.68212777048291,2.75,0.9287613601268823,0.7045393382558296,1.3627344296111432,0,0.12232060078078723
28,兵庫県,효고,Hyogo Ken,34.6913,135.183,195040.0,1897870.0,261.76347706166746,31.53149790232965,2.75,0.718185371927736,0.4990652411123417,0.9111493989801407,0,0.10276783973612523
29,奈良県,나라,Nara Ken,34.6851,135.8329,23100.0,442520.0,294.7021848989484,20.022288048511896,2.75,0.5503012202563586,0.3294185496322724,0.8087760838078165,0,0.05220103046190003
30,和歌山県,와카야마,Wakayama Ken,34.2261,135.1675,42030.0,583130.0,257.0770099333654,34.24705684080977,3.9166666666666665,0.4786380087395309,0.26074563958562935,1.1084118163081595,3,0.07207655239826453
31,鳥取県,돗토리,Tottori Ken,35.5039,134.2377,28100.0,149680.0,329.06885608229607,4.899047731733815,2.0,2.8780020999690477,1.8418982423437569,4.167639916037121,0,0.1877338321753073
32,島根県,시마네,Shimane Ken,35.4723,133.0505,12790.0,90140.0,255.31816734616186,2.549785253655307,3.0,0.909743733709802,0.5173585421040763,1.4547339959387116,0,0.14189039272243179
33,岡山県,오카야마,Okayama Ken,34.6618,133.935,40110.0,625790.0,257.6060072720445,8.766015800919599,6.0,0.4053976085097966,0.29399479166373516,0.6153347145568053,0,0.06409498394029946
34,広島県,히로시마,Hiroshima Ken,34.3963,132.4596,103990.0,1899620.0,281.9266174634782,4.869197039349543,2.4166666666666665,0.48350276701506756,0.24153248529742197,1.03780590857607,0,0.05474252745285899
35,山口県,야마구치,Yamaguchi Ken,34.1859,131.4706,64250.0,156370.0,279.7404189335855,8.85155845985785,4.416666666666667,3.5195399246382797,2.051352156954516,4.726440307573429,0,0.41088444074950436
36,徳島県,도쿠시마,Tokushima Ken,34.0658,134.5593,46460.0,200850.0,259.9805202376723,15.923035734204433,4.916666666666667,1.6769151489034102,1.1315466594629189,2.2213700066209605,0,0.23131690316156336
37,香川県,가가와,Kagawa Ken,34.3401,134.0434,162170.0,923830.0,262.01609126435545,10.61252877079865,6.0,1.2187923763481574,0.814034294059038,1.8645628472301876,0,0.17554095450461665
38,愛媛県,에히메,Ehime Ken,33.8416,132.7657,201730.0,475470.0,224.4811127930162,6.488709126851209,3.0,1.8581549775943282,1.4690196923862446,2.2571237727967155,0,0.42427492796601257
39,高知県,고치,Kochi Ken,33.5597,133.5311,5660.0,115940.0,300.6270394968127,4.487150912493323,3.0,0.3551220503694816,0.23745250674993,2.19331136329605,0,0.04881835432120062
40,福岡県,후쿠오카,Fukuoka Ken,33.6064,130.4181,2883460.0,7831810.0,210.6890385607188,45.98609886283205,5.416666666666667,1.4126373877495289,1.2321586160307205,1.5922371246524731,0,0.36817287446963093
41,佐賀県,사가,Saga Ken,33.2494,130.2988,82220.0,240340.0,245.6272232375436,26.729686218574198,5.416666666666667,1.9823274870192105,1.6678827332209714,2.356028686546823,0,0.34209869351751687
42,長崎県,나가사키,Nagasaki Ken,32.7448,129.8737,165980.0,529950.0,252.14217172473187,9.65239306084541,4.166666666666667,2.016385796045308,1.5653936995410054,2.274406228097641,0,0.3131993584300406
43,熊本県,구마모토,Kumamoto Ken,32.7898,130.7417,491720.0,1565840.0,225.43514745819576,14.48405880557416,7.0,1.38772549091105,1.2013144678786725,1.9199685887034807,0,0.31402953047565524
44,大分県,오이타,Oita Ken,33.2382,131.6126,426550.0,1097080.0,268.1343195354145,9.694459219633076,6.416666666666667,2.751240960251736,2.014447142848852,3.5796655997691142,0,0.38880482735990085
45,宮崎県,미야자키,Miyazaki Ken,31.9111,131.4239,58960.0,188790.0,252.308804115102,3.275463002834416,3.0,1.879385111444262,1.018789131139595,2.936905571054454,1,0.3123046771545103
46,鹿児島県,가고시마,Kagoshima Ken,31.5602,130.5581,192720.0,562530.0,272.4707757898498,2.5489810379299396,3.0,2.3430165360078545,1.5184534623571573,4.110693592040551,0,0.3425950615967148
47,沖縄県,오키나와,Okinawa Ken,26.2124,127.6809,1153410.0,6230120.0,269.02480872393056,4.309415575496282,1.0,1.5089712396252644,1.167145413424783,1.767074736887416,0,0.18513447574043518
