pref_code,month,ICN,GMP,PUS,CJU
35,6,288.5,600.3,322.2,598.6
7,6,343.9,530.7,488.3,507.6
17,6,286.7,454.7,437.5,522.5
18,6,297.0,405.2,388.0,453.6
38,6,248.4,489.9,224.5,488.2
29,6,309.7,313.8,294.7,312.1
32,6,255.3,483.9,404.0,482.2
3,6,407.1,755.9,638.4,729.8
31,6,329.1,403.5,384.4,401.8
36,6,260.4,327.4,308.3,325.7
46,6,276.6,793.5,358.3,791.8
15,6,283.2,548.9,534.5,553.7
39,6,324.5,437.7,300.6,436.0
45,6,252.3,705.1,329.6,703.4
14,6,298.0,295.9,344.2,363.4
26,7,318.6,333.6,314.5,331.9
41,7,245.6,727.8,246.9,726.1
43,7,250.7,707.6,225.4,705.9
37,7,262.0,363.3,344.2,361.6
23,7,299.9,298.0,280.7,424.3
9,7,383.8,391.9,367.4,386.7
19,7,374.6,389.5,427.3,451.8
25,7,325.6,338.6,319.5,336.9
10,7,394.8,392.7,405.8,425.1
4,7,300.3,595.9,549.2,568.4
22,7,298.9,405.5,388.3,489.1
8,7,348.2,384.8,331.8,351.0
47,7,289.1,1418.6,270.2,1416.9
6,7,335.1,582.1,542.7,562.0
30,7,278.0,276.1,257.1,274.4
42,7,254.2,784.1,305.9,782.4
5,7,409.4,743.0,658.8,727.0
33,7,257.6,375.4,356.3,373.7
40,7,236.1,706.7,210.7,705.0
21,7,322.7,320.7,303.5,423.2
2,7,296.9,871.0,524.6,850.1
27,7,281.4,291.0,271.9,289.3
20,7,418.0,467.8,478.6,508.1
44,7,268.1,613.2,297.1,611.5
24,7,293.6,291.6,274.4,371.6
34,7,282.8,508.1,285.3,506.4
1,7,339.2,1124.8,336.6,1102.5
28,7,261.2,282.6,263.5,280.9
12,7,311.8,309.6,298.0,317.2
16,7,336.3,468.5,451.3,559.6
13,7,298.5,296.4,331.4,350.6
11,7,317.1,315.0,335.3,354.5
35,7,267.5,600.3,322.2,598.6
7,7,343.9,530.7,488.3,507.6
17,7,286.7,454.7,437.5,522.5
18,7,297.0,405.2,388.0,453.6
38,7,248.4,489.9,224.5,488.2
29,7,309.7,313.8,294.7,312.1
32,7,255.3,483.9,404.0,482.2
3,7,407.1,755.9,638.4,729.8
31,7,329.1,403.5,384.4,401.8
36,7,260.4,327.4,308.3,325.7
46,7,276.6,793.5,358.3,791.8
15,7,283.2,548.9,534.5,553.7
39,7,324.5,437.7,300.6,436.0
45,7,252.3,705.1,329.6,703.4
14,7,298.0,295.9,344.2,363.4
26,8,318.6,333.6,314.5,331.9
41,8,245.6,727.8,246.9,726.1
43,8,250.7,707.6,225.4,705.9
37,8,262.0,363.3,344.2,361.6
23,8,299.9,298.0,280.7,424.3
9,8,383.8,391.9,367.4,386.7
19,8,374.6,389.5,427.3,451.8
25,8,325.6,338.6,319.5,336.9
10,8,394.8,392.7,405.8,425.1
4,8,300.3,595.9,549.2,568.4
22,8,298.9,405.5,388.3,489.1
8,8,348.2,384.8,331.8,351.0
47,8,289.1,1418.6,270.2,1416.9
6,8,335.1,582.1,542.7,562.0
30,8,278.0,276.1,257.1,274.4
42,8,254.2,784.1,305.9,782.4
5,8,409.4,743.0,658.8,727.0
33,8,257.6,375.4,356.3,373.7
40,8,236.1,706.7,210.7,705.0
21,8,322.7,320.7,303.5,423.2
2,8,296.9,871.0,524.6,850.1
27,8,281.4,291.0,271.9,289.3
20,8,418.0,467.8,478.6,508.1
44,8,268.1,613.2,297.1,611.5
24,8,293.6,291.6,274.4,371.6
34,8,282.8,508.1,285.3,506.4
1,8,339.2,1124.8,336.6,1102.5
28,8,261.2,282.6,263.5,280.9
12,8,311.8,309.6,298.0,317.2
16,8,336.3,468.5,451.3,559.6
13,8,298.5,296.4,331.4,350.6
11,8,317.1,315.0,335.3,354.5
35,8,267.5,600.3,322.2,598.6
7,8,343.9,530.7,488.3,507.6
17,8,286.7,454.7,437.5,522.5
18,8,297.0,405.2,388.0,453.6
38,8,248.4,489.9,224.5,488.2
29,8,309.7,313.8,294.7,312.1
32,8,255.3,483.9,404.0,482.2
3,8,407.1,755.9,638.4,729.8
31,8,329.1,403.5,384.4,401.8
36,8,260.4,327.4,308.3,325.7
46,8,276.6,793.5,358.3,791.8
15,8,283.2,548.9,534.5,553.7
39,8,324.5,437.7,300.6,436.0
45,8,252.3,705.1,329.6,703.4
14,8,298.0,295.9,344.2,363.4
26,9,318.6,333.6,314.5,331.9
41,9,245.6,727.8,246.9,290.2
43,9,250.7,707.6,225.4,232.8
37,9,262.0,363.3,344.2,361.6
23,9,299.9,298.0,280.7,424.3
9,9,383.8,391.9,367.4,386.7
19,9,374.6,389.5,427.3,451.8
25,9,325.6,338.6,319.5,336.9
10,9,394.8,392.7,405.8,425.1
4,9,300.3,595.9,549.2,568.4
22,9,298.9,405.5,388.3,489.1
8,9,348.2,384.8,331.8,351.0
47,9,289.1,1418.6,270.2,1018.9
6,9,335.1,582.1,542.7,562.0
30,9,278.0,276.1,257.1,274.4
