dep,arr,arr_ko,month,flights,pax,dlat,dlon,alat,alon,air_km,air_min
ICN,AOJ,아오모리,1,28,4012,37.469101,126.450996,40.733777,140.689477,1279.4680593450846,120.96010445088135
ICN,OKJ,오까야마,1,36,4630,37.469101,126.450996,34.756901,133.854996,729.9853220727526,79.74889915545646
ICN,OKA,오끼나와,1,391,78052,37.469101,126.450996,26.192437,127.639804,1258.8924280374433,119.41693210280825
ICN,OIT,오이다,1,62,8525,37.469101,126.450996,33.479400634799994,131.736999512,652.4181816151923,73.93136362113943
ICN,YGJ,요나고,1,32,5407,37.469101,126.450996,35.492199,133.235992,645.0343685638173,73.3775776422863
ICN,UBJ,우베,1,22,3827,37.469101,126.450996,33.93,131.279007,587.1483293018845,69.03612469764133
ICN,KOJ,카고시마,1,88,13194,37.469101,126.450996,31.8034,130.718994,740.9728577783167,80.57296433337375
ICN,KKJ,키타큐슈,1,111,16258,37.469101,126.450996,33.845901,131.035004,577.6338075069406,68.32253556302055
ICN,FUK,후쿠오카,1,1423,293971,37.469101,126.450996,33.585899353027344,130.4510040283203,563.3190605808336,67.24892954356253
ICN,HIJ,히로시마,1,98,13956,37.469101,126.450996,34.4361,132.919006,672.5860583939241,75.44395437954431
ICN,KIX,간사이,2,1856,363201,37.469101,126.450996,34.427299,135.244003,860.2968950956142,89.52226713217107
ICN,KMQ,고마스,2,24,3179,37.469101,126.450996,36.393407,136.406895,892.5379302689108,91.94034477016831
ICN,KMJ,구마모도,2,144,23492,37.469101,126.450996,32.837299,130.854996,652.1703839340878,73.9127787950566
ICN,NGS,나가사키,2,32,5006,37.469101,126.450996,32.916901,129.914001,595.9075919757765,69.69306939818324
ICN,NGO,나고야,2,464,85104,37.469101,126.450996,34.858398,136.804993,973.1496911703706,97.98622683777779
ICN,KIJ,니이가타,2,24,3371,37.469101,126.450996,37.954166,139.112189,1114.204128884813,108.56530966636096
ICN,TAK,다가마스,2,112,20104,37.469101,126.450996,34.214963,134.015454,771.5540526882328,82.86655395161746
ICN,NRT,도쿄 나리타,2,2013,383863,37.469101,126.450996,35.76858,140.388714,1256.992573105629,119.27444298292217
ICN,HND,도쿄 하네다,2,169,32553,37.469101,126.450996,35.549678,139.786958,1209.760643174231,115.73204823806732
ICN,TKS,도쿠시마,2,24,4126,37.469101,126.450996,34.132559,134.607816,823.4590653275138,86.75942989956354
ICN,MYJ,마즈야마,2,112,19309,37.469101,126.450996,33.826893,132.700114,694.6091324143493,77.09568493107619
ICN,KMI,미와사키,2,56,7681,37.469101,126.450996,31.877199,131.449005,771.413451733765,82.85600888003236
ICN,HSG,사가,2,32,5313,37.469101,126.450996,33.1497,130.302002,593.8278202810596,69.53708652107947
ICN,CTS,삿보로(치토세),2,568,125865,37.469101,126.450996,42.774753,141.690414,1420.989007249495,131.57417554371213
ICN,SDJ,센다이,2,40,6542,37.469101,126.450996,38.139702,140.917007,1271.8202001313798,120.3865150098535
ICN,SHM,시라하마,2,1,154,37.469101,126.450996,33.6622009277,135.363998413,909.9936948962609,93.24952711721957
ICN,SHI,시모지시마,2,40,5206,37.469101,126.450996,24.8267,125.144997,1411.2074715075646,130.84056036306737
ICN,FSZ,시즈오카,2,92,14830,37.469101,126.450996,34.795022,138.190976,1094.6084224518313,107.09563168388735
ICN,AKJ,아사이까와,2,32,4400,37.469101,126.450996,43.670799,142.447006,1513.3696125599424,138.50272094199568
ICN,AOJ,아오모리,2,24,3670,37.469101,126.450996,40.733777,140.689477,1279.4680593450846,120.96010445088135
ICN,OKJ,오까야마,2,32,4633,37.469101,126.450996,34.756901,133.854996,729.9853220727526,79.74889915545646
ICN,OKA,오끼나와,2,360,73650,37.469101,126.450996,26.192437,127.639804,1258.8924280374433,119.41693210280825
ICN,OIT,오이다,2,56,8910,37.469101,126.450996,33.479400634799994,131.736999512,652.4181816151923,73.93136362113943
ICN,YGJ,요나고,2,24,4245,37.469101,126.450996,35.492199,133.235992,645.0343685638173,73.3775776422863
ICN,UBJ,우베,2,2,245,37.469101,126.450996,33.93,131.279007,587.1483293018845,69.03612469764133
ICN,KOJ,카고시마,2,80,13091,37.469101,126.450996,31.8034,130.718994,740.9728577783167,80.57296433337375
ICN,KKJ,키타큐슈,2,66,9844,37.469101,126.450996,33.845901,131.035004,577.6338075069406,68.32253556302055
ICN,FUK,후쿠오카,2,1338,292123,37.469101,126.450996,33.585899353027344,130.4510040283203,563.3190605808336,67.24892954356253
ICN,HIJ,히로시마,2,88,13701,37.469101,126.450996,34.4361,132.919006,672.5860583939241,75.44395437954431
ICN,KIX,간사이,3,2005,395930,37.469101,126.450996,34.427299,135.244003,860.2968950956142,89.52226713217107
ICN,KMQ,고마스,3,28,3849,37.469101,126.450996,36.393407,136.406895,892.5379302689108,91.94034477016831
ICN,KMJ,구마모도,3,150,23605,37.469101,126.450996,32.837299,130.854996,652.1703839340878,73.9127787950566
ICN,NGS,나가사키,3,36,5223,37.469101,126.450996,32.916901,129.914001,595.9075919757765,69.69306939818324
ICN,NGO,나고야,3,517,98281,37.469101,126.450996,34.858398,136.804993,973.1496911703706,97.98622683777779
ICN,KIJ,니이가타,3,26,3527,37.469101,126.450996,37.954166,139.112189,1114.204128884813,108.56530966636096
ICN,TAK,다가마스,3,122,21285,37.469101,126.450996,34.214963,134.015454,771.5540526882328,82.86655395161746
ICN,NRT,도쿄 나리타,3,2209,432323,37.469101,126.450996,35.76858,140.388714,1256.992573105629,119.27444298292217
ICN,HND,도쿄 하네다,3,187,31941,37.469101,126.450996,35.549678,139.786958,1209.760643174231,115.73204823806732
ICN,TKS,도쿠시마,3,26,3930,37.469101,126.450996,34.132559,134.607816,823.4590653275138,86.75942989956354
ICN,MYJ,마즈야마,3,124,21386,37.469101,126.450996,33.826893,132.700114,694.6091324143493,77.09568493107619
ICN,KMI,미와사키,3,59,7685,37.469101,126.450996,31.877199,131.449005,771.413451733765,82.85600888003236
ICN,HSG,사가,3,36,5721,37.469101,126.450996,33.1497,130.302002,593.8278202810596,69.53708652107947
ICN,CTS,삿보로(치토세),3,556,93715,37.469101,126.450996,42.774753,141.690414,1420.989007249495,131.57417554371213
ICN,SDJ,센다이,3,44,6942,37.469101,126.450996,38.139702,140.917007,1271.8202001313798,120.3865150098535
ICN,SHI,시모지시마,3,46,5033,37.469101,126.450996,24.8267,125.144997,1411.2074715075646,130.84056036306737
ICN,FSZ,시즈오카,3,104,16724,37.469101,126.450996,34.795022,138.190976,1094.6084224518313,107.09563168388735
ICN,AKJ,아사이까와,3,36,2991,37.469101,126.450996,43.670799,142.447006,1513.3696125599424,138.50272094199568
ICN,AOJ,아오모리,3,26,3349,37.469101,126.450996,40.733777,140.689477,1279.4680593450846,120.96010445088135
ICN,OKJ,오까야마,3,34,4943,37.469101,126.450996,34.756901,133.854996,729.9853220727526,79.74889915545646
ICN,OKA,오끼나와,3,374,74660,37.469101,126.450996,26.192437,127.639804,1258.8924280374433,119.41693210280825
ICN,OIT,오이다,3,58,9296,37.469101,126.450996,33.479400634799994,131.736999512,652.4181816151923,73.93136362113943
ICN,YGJ,요나고,3,28,4822,37.469101,126.450996,35.492199,133.235992,645.0343685638173,73.3775776422863
ICN,KOJ,카고시마,3,86,13133,37.469101,126.450996,31.8034,130.718994,740.9728577783167,80.57296433337375
ICN,KKJ,키타큐슈,3,72,10648,37.469101,126.450996,33.845901,131.035004,577.6338075069406,68.32253556302055
ICN,FUK,후쿠오카,3,1426,311556,37.469101,126.450996,33.585899353027344,130.4510040283203,563.3190605808336,67.24892954356253
ICN,HIJ,히로시마,3,98,15775,37.469101,126.450996,34.4361,132.919006,672.5860583939241,75.44395437954431
ICN,KIX,간사이,4,2014,364250,37.469101,126.450996,34.427299,135.244003,860.2968950956142,89.52226713217107
ICN,KMQ,고마스,4,26,3345,37.469101,126.450996,36.393407,136.406895,892.5379302689108,91.94034477016831
ICN,UKB,고베,4,52,8568,37.469101,126.450996,34.632801,135.223999,848.9746460739115,88.67309845554337
ICN,KMJ,구마모도,4,108,16126,37.469101,126.450996,32.837299,130.854996,652.1703839340878,73.9127787950566
ICN,NGS,나가사키,4,22,2933,37.469101,126.450996,32.916901,129.914001,595.9075919757765,69.69306939818324
ICN,NGO,나고야,4,501,98269,37.469101,126.450996,34.858398,136.804993,973.1496911703706,97.98622683777779
ICN,KIJ,니이가타,4,26,3543,37.469101,126.450996,37.954166,139.112189,1114.204128884813,108.56530966636096
ICN,TAK,다가마스,4,120,20364,37.469101,126.450996,34.214963,134.015454,771.5540526882328,82.86655395161746
ICN,NRT,도쿄 나리타,4,1996,371598,37.469101,126.450996,35.76858,140.388714,1256.992573105629,119.27444298292217
ICN,HND,도쿄 하네다,4,180,35983,37.469101,126.450996,35.549678,139.786958,1209.760643174231,115.73204823806732
ICN,TKS,도쿠시마,4,26,2921,37.469101,126.450996,34.132559,134.607816,823.4590653275138,86.75942989956354
ICN,MYJ,마즈야마,4,120,19308,37.469101,126.450996,33.826893,132.700114,694.6091324143493,77.09568493107619
ICN,KMI,미와사키,4,26,3765,37.469101,126.450996,31.877199,131.449005,771.413451733765,82.85600888003236
ICN,HSG,사가,4,34,5040,37.469101,126.450996,33.1497,130.302002,593.8278202810596,69.53708652107947
ICN,CTS,삿보로(치토세),4,360,61078,37.469101,126.450996,42.774753,141.690414,1420.989007249495,131.57417554371213
ICN,SDJ,센다이,4,44,6198,37.469101,126.450996,38.139702,140.917007,1271.8202001313798,120.3865150098535
ICN,SHI,시모지시마,4,42,6044,37.469101,126.450996,24.8267,125.144997,1411.2074715075646,130.84056036306737
ICN,FSZ,시즈오카,4,60,9029,37.469101,126.450996,34.795022,138.190976,1094.6084224518313,107.09563168388735
ICN,AKJ,아사이까와,4,24,1346,37.469101,126.450996,43.670799,142.447006,1513.3696125599424,138.50272094199568
ICN,AOJ,아오모리,4,24,2643,37.469101,126.450996,40.733777,140.689477,1279.4680593450846,120.96010445088135
ICN,OKJ,오까야마,4,36,5124,37.469101,126.450996,34.756901,133.854996,729.9853220727526,79.74889915545646
ICN,OKA,오끼나와,4,360,70838,37.469101,126.450996,26.192437,127.639804,1258.8924280374433,119.41693210280825
