pref_code,month,min_minutes,best_dep,best_arr,n_reachable,gravity,foreign_total,korea,korea_uncertain,pref_ja,pref_en,capital,lat,lon,korea_share,log_foreign,korea_share_pred,korea_share_resid,korea_share_ratio,korea_pred,korea_resid,korea_ratio
20,11,350.384193408662,ICN,TOY,1,1.3540091490556367,139700.0,4700.0,False,長野県,Nagano Ken,長野市,36.6513,138.181,0.0336435218324982,11.847252545245054,0.044959382252906015,-0.28993894412934074,0.7483092548568904,5932.665202403269,-0.23291104723682032,0.7922240409076294
20,12,418.0427412946953,ICN,KMQ,0,1.4268357304762032,213820.0,2140.0,False,長野県,Nagano Ken,長野市,36.6513,138.181,0.0100084182957627,12.27288981856749,0.022337213181108585,-0.8028274717312143,0.4480602935834086,4271.031206555821,-0.6910494694146152,0.5010499564403103
21,1,303.5031505842475,PUS,NGO,1,5.82055607594542,165320.0,12380.0,False,岐阜県,Gifu Ken,岐阜市,35.3912,136.7223,0.0748850713767239,12.015638268625668,0.1023692268411663,-0.31263159171619437,0.7315193607246233,15893.028209028103,-0.24979826839078534,0.7789579076545962
21,2,303.5031505842475,PUS,NGO,1,5.083088963023452,143730.0,7950.0,False,岐阜県,Gifu Ken,岐阜市,35.3912,136.7223,0.0553120434147359,11.875691818545278,0.0980045788354916,-0.572023532304998,0.5643822367481577,13271.359069408629,-0.5124363311185451,0.5990343534842099
21,3,303.5031505842475,PUS,NGO,1,5.7539769409508805,124990.0,4280.0,False,岐阜県,Gifu Ken,岐阜市,35.3912,136.7223,0.0342427394191535,11.735989013084268,0.08033479592705174,-0.8527282967439067,0.42625040648945856,9607.426832250518,-0.8085834181433444,0.4454886906484428
21,4,303.5031505842475,PUS,NGO,1,6.231638780964977,185610.0,8250.0,False,岐阜県,Gifu Ken,岐阜市,35.3912,136.7223,0.0444480362049458,12.131402977193144,0.07080790913079567,-0.46564992422970386,0.6277269975991216,12407.119923655853,-0.4080572948734975,0.6649407800331043
21,5,303.5031505842475,PUS,NGO,1,6.522254084223586,142910.0,8520.0,False,岐阜県,Gifu Ken,岐阜市,35.3912,136.7223,0.0596179413616961,11.86997034047584,0.08755304617443671,-0.38428829333703396,0.6809350898301815,11860.08689965958,-0.33076237982289314,0.7183758493577773
21,6,303.5031505842475,PUS,NGO,1,6.040532244143002,91250.0,4750.0,False,岐阜県,Gifu Ken,岐阜市,35.3912,136.7223,0.0520547945205479,11.421358271444738,0.09232000859245022,-0.5729639912661679,0.5638517079254783,8139.077603788417,-0.538532239059192,0.5836042155181148
21,7,303.5031505842475,PUS,NGO,1,6.447432529185091,100840.0,3650.0,False,岐阜県,Gifu Ken,岐阜市,35.3912,136.7223,0.0361959539865132,11.521290381301856,0.0741896702030532,-0.7176775806328539,0.48788401252420716,7167.472480884462,-0.6748259117434756,0.5092450664769894
21,8,303.5031505842475,PUS,NGO,1,6.730380904731264,104310.0,4980.0,False,岐阜県,Gifu Ken,岐阜市,35.3912,136.7223,0.0477423065861374,11.555122513670018,0.07326839289252335,-0.42831137855550727,0.6516084862973601,7280.410587758993,-0.3797573689990905,0.6840273553215777
21,9,303.5031505842475,PUS,NGO,1,6.726583205931046,95970.0,4180.0,False,岐阜県,Gifu Ken,岐阜市,35.3912,136.7223,0.043555277690945,11.471790921611673,0.08542280338214349,-0.6735822007884291,0.509878814162749,7865.878962229792,-0.6322230398933133,0.5314091432211748
21,10,303.5031505842475,PUS,NGO,1,7.182448895951457,165080.0,12610.0,False,岐阜県,Gifu Ken,岐阜市,35.3912,136.7223,0.076387206203053,12.014185483866518,0.08793745020159369,-0.1408105445066865,0.8686538673561476,13813.88025876469,-0.09118375254500677,0.9128499569843282
21,11,303.5031505842475,PUS,NGO,1,7.104322757683534,148210.0,6330.0,False,岐阜県,Gifu Ken,岐阜市,35.3912,136.7223,0.0427096687133121,11.90638546595096,0.07966306659112718,-0.6233807448402273,0.5361288554521837,11263.980885672883,-0.5763098663186099,0.5619682831716613
21,12,303.5031505842475,PUS,NGO,1,7.121657848710192,123030.0,8480.0,False,岐阜県,Gifu Ken,岐阜市,35.3912,136.7223,0.0689262781435422,11.720183507054214,0.09036673274568463,-0.2708386983545883,0.7627395176222492,10693.310406536235,-0.23190790049693355,0.7930191566137127
22,1,298.85565840783164,ICN,FSZ,1,3.370060402703813,124750.0,12590.0,False,静岡県,Shizuoka Ken,静岡市,34.9769,138.3831,0.1009218436873747,11.734067013613766,0.10834225634881273,-0.07094886415967894,0.9315095244320217,12961.83670872631,-0.029106554178689237,0.9713129614975032
22,2,298.85565840783164,ICN,FSZ,1,3.028208011649394,139040.0,11900.0,False,静岡県,Shizuoka Ken,静岡市,34.9769,138.3831,0.0855868814729574,11.84251694049922,0.10372294029363878,-0.19219129106288957,0.825149009762562,13637.813574768123,-0.13630794434422278,0.8725738869181109
22,3,298.85565840783164,ICN,FSZ,1,3.403175648666086,166610.0,12250.0,False,静岡県,Shizuoka Ken,静岡市,34.9769,138.3831,0.0735249984994898,12.023411030923114,0.08502216264232004,-0.14528649544091632,0.8647745036644423,13303.929603832612,-0.08253351353235949,0.920780578729987
22,4,298.85565840783164,ICN,FSZ,1,3.1253218694720184,214630.0,12040.0,False,静岡県,Shizuoka Ken,静岡市,34.9769,138.3831,0.0560965382285794,12.27667089437571,0.07493940199895233,-0.2896057101333773,0.74855865849268,15052.327636024267,-0.22329819955650265,0.7998762909721041
22,5,298.85565840783164,ICN,FSZ,1,3.2324826005366845,171410.0,13800.0,False,静岡県,Shizuoka Ken,静岡市,34.9769,138.3831,0.0805087217781926,12.051813626501103,0.09266158264014285,-0.1405884362955545,0.8688468239405466,14886.73829058198,-0.07580217684874668,0.9269995703982047
22,6,298.85565840783164,ICN,FSZ,1,3.4550474637967667,158270.0,11860.0,False,静岡県,Shizuoka Ken,静岡市,34.9769,138.3831,0.0749352372527958,11.97205771432733,0.09770668730913588,-0.2653457668809227,0.7669407214237742,14398.938646159768,-0.19398310516822548,0.8236718199478604
22,7,298.85565840783164,ICN,FSZ,1,3.6549397408304207,170250.0,7370.0,False,静岡県,Shizuoka Ken,静岡市,34.9769,138.3831,0.0432892804698972,12.045023224011759,0.07851848173127696,-0.5954289929911032,0.5513260001390654,12365.877473500339,-0.5175231565486946,0.5959949074211404
